ID	choice	rt	condition_int	state	contrast_left	contrast_right	reward	trials	blocks	contrast	ecoperf
28	0	460	4	0	0.123581955992952	0.876418044007047	1	1	1	1	0
28	0	404.10000000149	4	1	0.828431399796272	0.171568600203727	0	2	1	1	1
28	1	392.199999995529	4	0	0.147287464397465	0.852712535602534	1	3	1	1	1
28	1	342.899999998509	4	0	0.171291405318048	0.828708594681951	1	4	1	1	1
28	0	350.399999998509	4	1	0.819015710937363	0.180984289062636	0	5	1	1	1
28	1	419	4	0	0.174845592658029	0.82515440734197	1	6	1	1	1
28	0	406.5	4	1	0.84006362033724	0.159936379662759	0	7	1	1	1
28	1	427.699999995529	4	0	0.122608739432853	0.877391260567146	1	8	1	1	1
28	1	386.799999997019	4	0	0.160806398800607	0.839193601199392	1	9	1	1	1
28	1	414.699999995529	4	0	0.195738014897997	0.804261985102002	1	10	1	1	1
28	0	354	4	1	0.817769472900103	0.182230527099896	0	11	1	1	1
28	0	423	4	1	0.825019889867468	0.174980110132531	0	12	1	1	1
28	1	423.5	4	0	0.180414501787045	0.819585498212954	1	13	1	1	1
28	1	341.20000000298	4	0	0.170316821942109	0.82968317805789	1	14	1	1	1
28	0	301.5	4	1	0.813311455651498	0.186688544348501	0	15	1	1	1
28	0	347.199999995529	4	1	0.810796696286392	0.189203303713608	0	16	1	1	1
28	1	260.30000000447	4	0	0.189682491680137	0.810317508319862	1	17	1	1	1
28	0	268.299999997019	4	1	0.850370267530733	0.149629732469266	0	18	1	1	1
28	0	312.399999998509	4	1	0.840639352719195	0.159360647280804	0	19	1	1	1
28	1	293.899999998509	4	0	0.16472458527349	0.835275414726509	1	20	1	1	1
28	1	325.5	4	0	0.121473398567561	0.878526601432438	1	21	1	1	1
28	0	281.60000000149	4	1	0.874076112755865	0.125923887244134	0	22	1	1	1
28	1	322.5	4	0	0.185163719401797	0.814836280598202	1	23	1	1	1
28	0	272	4	1	0.820398526072294	0.179601473927705	0	24	1	1	1
28	0	363.70000000298	4	1	0.813006207658691	0.186993792341308	0	25	1	1	1
28	1	374.5	3	1	0.843522540823613	0.156477459176386	1	1	2	0	1
28	1	473.40000000596	3	1	0.86143482937453	0.13856517062547	1	2	2	0	1
28	0	360.70000000298	3	0	0.146689635318872	0.853310364681127	0	3	2	0	1
28	0	369.70000000298	3	0	0.150296058097956	0.849703941902043	0	4	2	0	1
28	0	367.399999998509	3	0	0.184447221593229	0.815552778406771	0	5	2	0	1
28	0	396.5	3	0	0.195667260770483	0.804332739229516	0	6	2	0	1
28	0	309	3	0	0.137038956084284	0.862961043915715	0	7	2	0	1
28	1	385.799999997019	3	1	0.847391684763702	0.152608315236297	1	8	2	0	1
28	1	365.10000000149	3	1	0.857951031636944	0.142048968363055	1	9	2	0	1
28	1	365.90000000596	3	1	0.822594779975995	0.177405220024004	1	10	2	0	1
28	1	349.5	3	1	0.813602884811677	0.186397115188322	1	11	2	0	1
28	0	399.5	3	0	0.121421455415926	0.878578544584073	0	12	2	0	1
28	1	333.40000000596	3	1	0.817511483095941	0.182488516904058	1	13	2	0	1
28	0	318.20000000298	3	0	0.134138403599379	0.86586159640062	0	14	2	0	1
28	1	362.899999998509	3	1	0.811783382315733	0.188216617684266	1	15	2	0	1
28	1	302.799999997019	3	1	0.869473989861407	0.130526010138592	1	16	2	0	1
28	0	374.799999997019	3	0	0.127327927819943	0.872672072180056	0	17	2	0	1
28	1	310.199999995529	3	1	0.805759266440222	0.194240733559777	1	18	2	0	1
28	1	288.5	3	0	0.151575807335912	0.848424192664087	0	19	2	0	0
28	1	362	3	1	0.82020429818898	0.179795701811019	1	20	2	0	1
28	1	327.599999994039	3	1	0.85706049513921	0.142939504860789	1	21	2	0	1
28	0	404.799999997019	3	0	0.191007777044033	0.808992222955966	0	22	2	0	1
28	1	341.70000000298	3	1	0.838623172574202	0.161376827425797	1	23	2	0	1
28	0	365.299999997019	3	0	0.188428490249404	0.811571509750595	0	24	2	0	1
28	1	285	3	0	0.132180009171284	0.867819990828715	0	25	2	0	0
28	0	374.10000000149	1	0	0.440915440770001	0.559084559229998	1	1	3	1	0
28	1	807.299999997019	1	0	0.465841121155067	0.534158878844933	1	2	3	1	1
28	1	516	1	1	0.546680138306228	0.453319861693771	0	3	3	1	0
28	1	540.399999998509	1	0	0.435296489862333	0.564703510137666	1	4	3	1	1
28	1	365.60000000149	1	0	0.461799460661268	0.538200539338731	1	5	3	1	1
28	1	391.20000000298	1	0	0.476377887775944	0.523622112224055	1	6	3	1	1
28	0	569.70000000298	1	1	0.538627870841595	0.461372129158404	0	7	3	1	1
28	1	390.10000000149	1	0	0.431774484941439	0.56822551505856	1	8	3	1	1
28	1	464.5	1	1	0.52039492252657	0.479605077473429	0	9	3	1	0
28	1	532.20000000298	1	1	0.507756552555978	0.492243447444021	0	10	3	1	0
28	1	319.699999995529	1	0	0.432580675550792	0.567419324449207	1	11	3	1	1
28	1	382.699999995529	1	0	0.447360919979139	0.55263908002086	1	12	3	1	1
28	1	343.70000000298	1	1	0.565357271988262	0.434642728011737	0	13	3	1	0
28	0	552.60000000149	1	1	0.538538169785247	0.461461830214752	0	14	3	1	1
28	1	377.5	1	0	0.472250347631918	0.527749652368081	1	15	3	1	1
28	0	357.099999994039	1	1	0.552919992999147	0.447080007000852	0	16	3	1	1
28	1	402.899999998509	1	0	0.475109059743428	0.524890940256571	1	17	3	1	1
28	1	387.60000000149	1	0	0.451985745406117	0.548014254593882	1	18	3	1	1
28	0	420.399999998509	1	1	0.574984104407703	0.425015895592296	0	19	3	1	1
28	0	371	1	1	0.568801663723182	0.431198336276817	0	20	3	1	1
28	1	333	1	0	0.499491050747401	0.500508949252598	1	21	3	1	1
28	0	266	1	1	0.554828229435676	0.445171770564323	0	22	3	1	1
28	1	481.599999994039	1	0	0.468058078620432	0.531941921379567	1	23	3	1	1
28	1	318	1	1	0.522361607000475	0.477638392999525	0	24	3	1	0
28	1	504.399999998509	1	1	0.50864916958026	0.491350830419739	0	25	3	1	0
28	0	462.299999997019	4	1	0.81614178169926	0.183858218300739	1	1	4	0	0
28	1	407.60000000149	4	1	0.831175108913784	0.168824891086215	1	2	4	0	1
28	0	404.30000000447	4	0	0.12314274171067	0.876857258289329	0	3	4	0	1
28	1	343.10000000149	4	1	0.804009717892745	0.195990282107254	1	4	4	0	1
28	0	379.199999995529	4	0	0.181129243570518	0.818870756429481	0	5	4	0	1
28	1	365.099999994039	4	1	0.806400316774755	0.193599683225244	1	6	4	0	1
28	1	343.60000000149	4	1	0.854595961322098	0.145404038677901	1	7	4	0	1
28	0	436.20000000298	4	0	0.17706521080191	0.822934789198089	0	8	4	0	1
28	1	351.90000000596	4	0	0.189114253707917	0.810885746292082	0	9	4	0	0
28	1	333.20000000298	4	1	0.804276155461341	0.195723844538658	1	10	4	0	1
28	0	359.20000000298	4	0	0.135313223657083	0.864686776342916	0	11	4	0	1
28	1	343.10000000149	4	1	0.82189796904995	0.178102030950049	1	12	4	0	1
28	0	399.299999997019	4	0	0.141486579918375	0.858513420081624	0	13	4	0	1
28	0	365.10000000149	4	0	0.19296929282419	0.807030707175809	0	14	4	0	1
28	0	384.70000000298	4	0	0.134242482216009	0.86575751778399	0	15	4	0	1
28	0	413.5	4	0	0.124788892688291	0.875211107311708	0	16	4	0	1
28	1	375.30000000447	4	1	0.804260284281686	0.195739715718313	1	17	4	0	1
28	1	425	4	1	0.819835665134074	0.180164334865925	1	18	4	0	1
28	1	404.199999995529	4	1	0.865413226021044	0.134586773978955	1	19	4	0	1
28	1	336.70000000298	4	1	0.803481100985102	0.196518899014898	1	20	4	0	1
28	0	412	4	0	0.138143910187957	0.861856089812042	0	21	4	0	1
28	0	305.699999995529	4	0	0.195094418348046	0.804905581651953	0	22	4	0	1
28	1	332.5	4	1	0.828973789947708	0.171026210052291	1	23	4	0	1
28	1	312.399999998509	4	1	0.848473980125232	0.151526019874767	1	24	4	0	1
28	0	380.699999995529	4	0	0.131891745390513	0.868108254609486	0	25	4	0	1
28	1	441.10000000149	3	1	0.835997335054793	0.164002664945206	0	1	5	1	0
28	0	376	3	1	0.856733456240842	0.143266543759157	0	2	5	1	1
28	1	292.399999998509	3	0	0.194130822850067	0.805869177149932	1	3	5	1	1
28	1	293.799999997019	3	0	0.131061043585494	0.868938956414505	1	4	5	1	1
28	0	345.40000000596	3	1	0.859167265408828	0.140832734591171	0	5	5	1	1
28	1	304	3	0	0.13324805931485	0.866751940685149	1	6	5	1	1
28	0	340	3	1	0.833097953753386	0.166902046246613	0	7	5	1	1
28	0	336.60000000149	3	1	0.835261184697855	0.164738815302144	0	8	5	1	1
28	0	319.30000000447	3	1	0.855193916918209	0.14480608308179	0	9	5	1	1
28	0	396.899999998509	3	1	0.867337494760529	0.13266250523947	0	10	5	1	1
28	1	483.30000000447	3	0	0.183689123845275	0.816310876154724	1	11	5	1	1
28	1	355.10000000149	3	0	0.133240701813778	0.866759298186221	1	12	5	1	1
28	1	354.90000000596	3	0	0.13982095595417	0.860179044045829	1	13	5	1	1
28	0	389.20000000298	3	1	0.867056157725159	0.13294384227484	0	14	5	1	1
28	0	361.10000000149	3	1	0.8686322612465	0.131367738753499	0	15	5	1	1
28	1	380.299999997019	3	0	0.148260434545391	0.851739565454608	1	16	5	1	1
28	1	476.599999994039	3	1	0.844355440591282	0.155644559408717	0	17	5	1	0
28	1	340.5	3	0	0.168149197607227	0.831850802392772	1	18	5	1	1
28	1	343.5	3	0	0.128493624211092	0.871506375788907	1	19	5	1	1
28	1	343.299999997019	3	0	0.12131802100831	0.878681978991689	1	20	5	1	1
28	1	327.399999998509	3	0	0.128323459838407	0.871676540161592	1	21	5	1	1
28	0	464.799999997019	3	1	0.805388079272929	0.19461192072707	0	22	5	1	1
28	1	334	3	0	0.188952186973016	0.811047813026983	1	23	5	1	1
28	1	363.399999998509	3	0	0.130265015857469	0.86973498414253	1	24	5	1	1
28	0	454.60000000149	3	1	0.831344734139473	0.168655265860526	0	25	5	1	1
28	1	706.199999995529	2	1	0.546714062229485	0.453285937770514	1	1	6	0	1
28	1	550.70000000298	2	1	0.54002009969815	0.459979900301849	1	2	6	0	1
28	0	669.799999997019	2	1	0.500803423821707	0.499196576178292	1	3	6	0	0
28	0	671	2	0	0.421366887348393	0.578633112651606	0	4	6	0	1
28	0	477	2	0	0.469637924138594	0.530362075861405	0	5	6	0	1
28	0	481.5	2	0	0.489728100510791	0.510271899489208	0	6	6	0	1
28	0	456.60000000149	2	0	0.457196743150936	0.542803256849063	0	7	6	0	1
28	0	504.20000000298	2	1	0.548503353114278	0.451496646885721	1	8	6	0	0
28	0	447	2	0	0.468135075205113	0.531864924794886	0	9	6	0	1
28	1	714.099999994039	2	1	0.539031176487317	0.460968823512682	1	10	6	0	1
28	0	427.60000000149	2	0	0.48229981547955	0.51770018452045	0	11	6	0	1
28	0	406.20000000298	2	0	0.444707793767242	0.555292206232757	0	12	6	0	1
28	1	367.60000000149	2	1	0.543370189760465	0.456629810239534	1	13	6	0	1
28	0	423.20000000298	2	1	0.527779699461098	0.472220300538901	1	14	6	0	0
28	1	442.5	2	0	0.494818699258456	0.505181300741543	0	15	6	0	0
28	1	471.30000000447	2	1	0.571678994402963	0.428321005597036	1	16	6	0	1
28	0	437.399999998509	2	0	0.479398209607326	0.520601790392673	0	17	6	0	1
28	0	402.10000000149	2	0	0.460067204068662	0.539932795931337	0	18	6	0	1
28	0	608.199999995529	2	1	0.517466526394786	0.482533473605213	1	19	6	0	0
28	1	405.899999998509	2	1	0.579198649329525	0.420801350670474	1	20	6	0	1
28	1	435.20000000298	2	1	0.553620876115347	0.446379123884652	1	21	6	0	1
28	0	435.70000000298	2	0	0.46069042044867	0.539309579551329	0	22	6	0	1
28	0	391.60000000149	2	0	0.423572245940718	0.576427754059281	0	23	6	0	1
28	1	412.399999998509	2	1	0.567302211449465	0.432697788550534	1	24	6	0	1
28	1	482.5	2	1	0.548235390425194	0.451764609574805	1	25	6	0	1
28	0	416.699999995529	2	0	0.4664992995773	0.533500700422699	1	1	7	1	0
28	0	400.60000000149	2	1	0.574070109568109	0.42592989043189	0	2	7	1	1
28	0	401.299999997019	2	1	0.575372453070469	0.42462754692953	0	3	7	1	1
28	1	475.30000000447	2	0	0.439098578734941	0.560901421265058	1	4	7	1	1
28	0	418.899999998509	2	1	0.53746682866595	0.462533171334049	0	5	7	1	1
28	1	387.90000000596	2	1	0.542715718831432	0.457284281168567	0	6	7	1	0
28	0	486.299999997019	2	1	0.552591527369642	0.447408472630358	0	7	7	1	1
28	1	427.60000000149	2	0	0.461285644952357	0.538714355047642	1	8	7	1	1
28	0	699.899999998509	2	0	0.479242921537381	0.520757078462618	1	9	7	1	0
28	1	399.399999998509	2	0	0.469239536677472	0.530760463322527	1	10	7	1	1
28	0	399.399999998509	2	1	0.522481531200758	0.477518468799241	0	11	7	1	1
28	1	351.799999997019	2	1	0.509471318877669	0.49052868112233	0	12	7	1	0
28	1	335	2	0	0.488962369154312	0.511037630845687	1	13	7	1	1
28	1	379.5	2	0	0.495107490522124	0.504892509477876	1	14	7	1	1
28	0	449.5	2	1	0.575863608055309	0.42413639194469	0	15	7	1	1
28	0	356.299999997019	2	1	0.556755501889476	0.443244498110523	0	16	7	1	1
28	0	472.699999995529	2	1	0.561393036959981	0.438606963040018	0	17	7	1	1
28	0	437.899999998509	2	1	0.552217415234126	0.447782584765873	0	18	7	1	1
28	0	377.699999995529	2	1	0.56981497511354	0.430185024886459	0	19	7	1	1
28	1	384.799999997019	2	0	0.434931434084285	0.565068565915714	1	20	7	1	1
28	1	678.199999995529	2	0	0.424290075193519	0.57570992480648	1	21	7	1	1
28	1	461.5	2	0	0.486377677548043	0.513622322451956	1	22	7	1	1
28	0	465.70000000298	2	1	0.535920283017251	0.464079716982749	0	23	7	1	1
28	1	443.5	2	0	0.440857447540517	0.559142552459483	1	24	7	1	1
28	1	427.80000000447	2	0	0.43340641121047	0.566593588789529	1	25	7	1	1
28	1	630.10000000149	1	1	0.523258655485739	0.476741344514261	1	1	8	0	1
28	0	479.70000000298	1	1	0.514026721504092	0.485973278495907	1	2	8	0	0
28	0	498.299999997019	1	0	0.447442562035146	0.552557437964853	0	3	8	0	1
28	1	463.5	1	1	0.544342593805493	0.455657406194506	1	4	8	0	1
28	0	634.90000000596	1	1	0.515528792571969	0.48447120742803	1	5	8	0	0
28	0	470.399999998509	1	0	0.439194865272209	0.56080513472779	0	6	8	0	1
28	0	409.10000000149	1	0	0.422830848910715	0.577169151089284	0	7	8	0	1
28	0	429.60000000149	1	0	0.478790822336748	0.521209177663251	0	8	8	0	1
28	1	506.299999997019	1	1	0.527616767192014	0.472383232807985	1	9	8	0	1
28	1	608.5	1	1	0.501241330151682	0.498758669848317	1	10	8	0	1
28	1	442.80000000447	1	1	0.53511295770006	0.464887042299939	1	11	8	0	1
28	0	492.30000000447	1	0	0.435841486494325	0.564158513505674	0	12	8	0	1
28	1	346.70000000298	1	1	0.522844772784665	0.477155227215334	1	13	8	0	1
28	0	390.10000000149	1	0	0.431796582865767	0.568203417134232	0	14	8	0	1
28	0	446.899999998509	1	0	0.443675033129849	0.55632496687015	0	15	8	0	1
28	1	463.40000000596	1	1	0.547919940618649	0.45208005938135	1	16	8	0	1
28	0	377.60000000149	1	0	0.478472580072448	0.521527419927551	0	17	8	0	1
28	1	451.40000000596	1	1	0.567958478748803	0.432041521251196	1	18	8	0	1
28	0	455.899999998509	1	1	0.507100643695412	0.492899356304587	1	19	8	0	0
28	0	401.30000000447	1	0	0.421457164712282	0.578542835287717	0	20	8	0	1
28	0	376.299999997019	1	0	0.458843159018609	0.54115684098139	0	21	8	0	1
28	1	364.399999998509	1	1	0.577284780132236	0.422715219867763	1	22	8	0	1
28	0	464.5	1	0	0.425515523949573	0.574484476050426	0	23	8	0	1
28	1	342.60000000149	1	0	0.47695138278752	0.523048617212479	0	24	8	0	0
28	1	326.5	1	1	0.523602809165602	0.476397190834398	1	25	8	0	1
28	0	498	2	0	0.475961389646258	0.524038610353741	1	1	9	1	0
